Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,6.11587792614,0.00874800080534,9.20601874679e-35,8.41416180298e-30,0.0485671237098,0,0,0,0,0,0
2.0,677.706018003,10.7452373568,1.97119326197,1.54102333056e-07,2.42068547511e-08,0.730274885138,0,0,0,0,0,0
3.0,673.964952074,14.9049238808,10.1660040209,0.0315694168893,0.000779844126021,1.66302552643,0,0,0,0,0,0
4.0,668.841013459,18.7682080461,22.4208807946,3.11576387457,0.0469560714068,2.47917577674,0.00125283810833,0,0,2.72100776654e-05,0,0
5.0,662.409752115,22.4126735518,35.8716231803,30.62327759,0.390726295861,3.15104487989,3.02687110274,0,0,0.0657398567626,0,0
6.0,654.758191312,25.8824137781,49.1355728169,116.190383395,1.39844049763,3.70936845814,41.2988413566,0,0,0.896959210714,0,0
7.0,645.983393532,29.2058778826,61.6830155367,275.153516672,3.25865226304,4.18422042368,154.358166231,1.63726028811e-06,0,3.35246645838,0,0
8.0,636.190410456,32.4029583466,73.3540156349,500.692698903,5.94119169953,4.59791375415,346.04421028,0.00469622738623,0,7.5157496882,0.000101996188545,0
9.0,625.489974007,35.4883653162,84.1379583248,775.99185263,9.29994762033,4.96624615093,599.508733389,0.32691010646,0,13.0276803823,0.00710007893299,0
10.0,613.996126894,38.4734360406,94.0808650265,1083.46212587,13.1600264061,5.30041980842,891.425098227,4.14359052819,7.10853578374e-06,19.4506327677,0.0899937611727,0
11.0,601.823926767,41.3671912289,103.247010945,1408.50418243,17.3607251117,5.60849648351,1194.33265416,21.6277698305,0.00106251124239,26.4091866113,0.469751202423,2.30764160457e-05
12.0,589.087320222,44.1769925861,111.703283872,1740.20734709,21.769766208,5.8963813808,1480.00980545,67.8766506921,0.0314445318641,33.6195248411,1.47487894315,0.000682935926423
13.0,575.897254139,46.9089731901,119.513140474,2070.88221899,26.2841597871,6.1684742848,1726.04953771,155.498855234,0.348624132301,40.8800225201,3.38481244248,0.00757168037341
14.0,562.36006734,49.5683308329,126.734623089,2395.32534653,30.8262215378,6.42810311595,1918.99520657,289.396985131,2.05698212889,48.0528680747,6.33001585144,0.0446750806119
15.0,548.576184212,52.1595347507,133.420061869,2710.14509122,35.3385696886,6.67781721526,2052.79094113,465.86563872,7.93710031665,55.0468403887,10.2904032384,0.172383897502
16.0,534.63911392,54.6864754583,139.616431295,3013.2323413,39.7795467062,6.91958957149,2125.66812223,674.467432646,22.7523613723,61.8037497795,15.1427424013,0.494152848554
17.0,520.634744197,57.1525759733,145.365915018,3303.37159349,44.1194691877,7.1549590553,2137.92801917,901.05665424,52.6166279649,68.2884831529,20.7125915979,1.14276738861
18.0,506.640907669,59.5608760972,150.706491846,3579.96403684,48.3377044684,7.38513241974,2091.09120074,1130.80115579,103.745577202,74.4819231281,26.8128118572,2.25322425487
19.0,492.727191054,61.9140974393,155.672470937,3842.83327092,52.4204435948,7.61105881403,1987.84072921,1350.48823684,181.217821246,80.3759813418,33.2667409491,3.93582455519
20.0,478.954953084,64.2146943821,160.294954963,4092.08978942,56.3590208224,7.83348517192,1832.13191837,1549.85138417,288.176836393,85.9701311829,39.9196754153,6.25884066542
21.0,465.377515198,66.4648945919,164.602231411,4328.03653179,60.1486479543,8.05299805441,1629.1496261,1722.00794366,425.577738008,91.2689864628,46.6428765237,9.24301649737
22.0,452.040489401,68.6667316258,168.620100167,4551.10293101,63.787458771,8.27005573535,1385.06173254,1863.26935974,592.366373137,96.2806052435,53.3333385734,12.8654571666
23.0,438.98220965,70.8220714736,172.37214767,4761.79871184,67.2757840066,8.48501314492,1106.64425192,1972.6050558,785.907349281,101.015296386,59.9114412978,17.0689252422
24.0,426.234236236,72.9326343839,175.879977502,4960.68141367,70.6155978465,8.69814150511,800.876145107,2050.98166831,1002.49758855,105.484775888,66.3177526098,21.7729945013
25.0,413.821906336,75.0000129795,179.163405936,5148.33349802,73.8100926023,8.90964396347,474.577127266,2100.72028305,1237.8550198,109.701568053,72.5096823586,26.8846637112
