Age (years),Dens. (trees/acre),Height (ft),BArea (ft2/acre),Vol ob (ft3/acre),Dry Weight (ton/acre),Dq (inches),Pulp (ft3/acre),Saw timber (ft3/acre),Veneer (ft3/acre),GW Pulp (ton/acre),GW Saw timber (ton/acre),GW Veneer (ton/acre)
1.0,680.0,7.42059855038,0.0219929969976,4.26390852158e-31,7.12522449604e-27,0.0770069963861,0,0,0,0,0,0
2.0,677.218683895,13.0375546596,3.43136762429,3.84021157523e-06,3.85025531373e-07,0.963854750359,0,0,0,0,0,0
3.0,672.69164637,18.0846409754,15.6436486278,0.23050215523,0.00465050370614,2.06492100594,0,0,0,0,0,0
4.0,666.508840504,22.7720924293,32.4174440364,13.5589856668,0.182847545158,2.98626855324,0.655653345655,0,0,0.0142399711009,0,0
5.0,658.7773363,27.1940439096,49.9330818118,100.737883735,1.20246787149,3.72792609303,36.7139041604,0,0,0.797380105984,0,0
6.0,649.620429932,31.4039953841,66.6524515244,321.210030628,3.70962229246,4.33731195968,197.401646034,4.95491178355e-05,0,4.28731807594,1.07614490299e-06,0
7.0,639.174769745,35.4364651642,82.1053469922,675.899637623,7.8044718844,4.85308996038,507.361109885,0.107330173912,0,11.0215801825,0.00233107721644,0
8.0,627.586737275,39.3155894606,96.2248616009,1129.22983101,13.2057728845,5.30211572145,929.359424097,4.37515316568,7.74861538871e-06,20.2795481865,0.0950230261074,0
9.0,615.008593365,43.0592165836,109.083499273,1640.56036434,19.5263753691,5.70271111298,1396.26620191,35.4255116427,0.0039574787754,31.0947263067,0.769483782483,8.59514921533e-05
10.0,601.594693459,46.6811023959,120.793945817,2177.39550866,26.4146599003,6.06754517961,1832.93709602,131.365294182,0.17387520818,42.6697452416,2.8568663352,0.00377635217765
11.0,587.497979504,50.1921920244,131.472773545,2717.28658008,33.5956624599,6.40556078834,2185.38963036,317.328701569,2.0764785377,54.4461108081,6.93708125544,0.0450985182407
12.0,572.866889648,53.6014176711,141.228125266,3245.95105233,40.8691718423,6.72320214617,2427.81996886,590.700771364,11.6329269529,66.0638025912,13.0819350103,0.252652632259
13.0,557.842772468,56.916220804,150.156505917,3754.88014812,48.0952201453,7.02519857902,2551.86297694,926.122920379,40.6726289711,77.3042235283,20.9975908375,0.883358660465
14.0,542.557846035,60.1429080773,158.342911571,4239.39723881,55.1788105851,7.31507397302,2557.18836863,1288.04463058,104.276510505,88.0431651264,30.2394747828,2.26475546253
15.0,527.133703508,63.2869021642,165.862038059,4697.28495926,62.0573760694,7.59548551081,2448.1896397,1642.10730107,215.971198262,98.217385607,40.3551424074,4.69062446226
16.0,511.680336857,66.3529235561,172.779699874,5127.8696701,68.6913742196,7.86845430127,2233.46076177,1961.80398784,384.146146788,107.802254532,50.9511044865,8.34317412556
17.0,496.295628591,69.3451255143,179.154147059,5531.42734142,75.0575048848,8.13552606951,1925.31558889,2230.53181737,610.932650813,116.797197874,61.7130564183,13.2686935098
18.0,481.065247851,72.2671963313,185.037190245,5908.80292931,81.143896888,8.39788558617,1538.68827552,2440.71590777,892.976060933,125.216332253,72.4036224452,19.3943238234
19.0,466.062880569,75.1224382264,190.47512948,6261.16797575,86.9467067592,8.65643982522,1089.72356173,2591.67232795,1223.07102478,133.082464618,82.8514571921,26.5635738195
20.0,451.350722594,77.9138291836,195.509511546,6589.86672696,92.4677098886,8.91187953792,594.464056935,2687.29185387,1591.88757096,140.423252551,92.9384281328,34.5738081817
21.0,436.980168144,80.6440721048,200.177746893,6896.3187527,97.7125846779,9.16472563175,67.8592367645,2734.06573775,1989.39719146,147.268748544,102.587710494,43.207220252
22.0,422.992632315,83.3156343726,204.513615169,7181.95766046,102.689681174,9.4153646512,0,2739.61368988,2405.88216231,153.64983269,111.75373804,52.2527532127
23.0,409.420454512,85.9307800546,208.547683575,7448.19293927,107.409130423,9.66407630394,0,2711.69150071,2832.55584199,159.597218262,120.414121974,61.5195721933
24.0,396.287838511,88.4915963858,212.307657298,7696.38668596,111.882195584,9.91105508507,0,2657.58562084,3261.87704441,165.140828889,128.563329761,70.8438920583
25.0,383.611793661,91.0000157485,215.818676882,7927.83994852,116.120796426,10.1564274543,0,2583.79032803,3687.64912662,170.309418258,136.207825656,80.0911294688
