17DBH(cm),10.4,17DBH(cm),22.3,17DBH(cm),8.8,17DBH(cm),7.3,17DBH(cm),10.7,17DBH(cm),7.3,17DBH(cm),7.5,17DBH(cm),10.3,17DBH(cm),11.8,17DBH(cm),28.2,17DBH(cm),13,17DBH(cm),28.7,17DBH(cm),19.7,17DBH(cm),20.7,17DBH(cm),17.9,17DBH(cm),6.7,17DBH(cm),7.1,17DBH(cm),7.4,17DBH(cm),7,17DBH(cm),8.8,17DBH(cm),10.5,17DBH(cm),10.2,17DBH(cm),10.3,17DBH(cm),7.9,17DBH(cm),12.6,17DBH(cm),7.6,17DBH(cm),8.4,17DBH(cm),26.2,17DBH(cm),12.3,17DBH(cm),7.9,17DBH(cm),19.9,17DBH(cm),??_?????(???
?DBH???(cm),A1-??,?DBH???(cm),A2,?DBH???(cm),A4,?DBH???(cm),A5,?DBH???(cm),A6,?DBH???(cm),A7,?DBH???(cm),A8,?DBH???(cm),A13,?DBH???(cm),A17,?DBH???(cm),A21,?DBH???(cm),A23,?DBH???(cm),A29,?DBH???(cm),A34,?DBH???(cm),A54,?DBH???(cm),A59,?DBH???(cm),A60,?DBH???(cm),A61,?DBH???(cm),A62,?DBH???(cm),A63,?DBH???(cm),A66,?DBH???(cm),A67,?DBH???(cm),A69,?DBH???(cm),A72,?DBH???(cm),A79,?DBH???(cm),A80,?DBH???(cm),A89,?DBH???(cm),A90,?DBH???(cm),A91,?DBH???(cm),A93,?DBH???(cm),A96,?DBH???(cm),A97,2017,0.0936
2016,0.075,2016,0.169,2016,0.066,2016,0.035,2016,0.102,2016,0.036,2016,0.061,2016,0.106,2016,0.227,2016,0.104,2016,0.124,2016,0.11,2016,0.145,2016,0.071,2016,0.038,2016,0.046,2016,0.049,2016,0.081,2016,0.09,2016,0.056,2016,0.103,2016,0.123,2016,0.036,2016,0.128,2016,0.071,2016,0.045,2016,0.12,2016,0.045,2016,0.16,2016,0.137,2016,0.095,2016,0.092064516
2015,0.05,2015,0.118,2015,0.049,2015,0.049,2015,0.098,2015,0.055,2015,0.025,2015,0.106,2015,0.063,2015,0.082,2015,0.097,2015,0.054,2015,0.044,2015,0.062,2015,0.035,2015,0.03,2015,0.035,2015,0.047,2015,0.116,2015,0.041,2015,0.087,2015,0.104,2015,0.062,2015,0.123,2015,0.069,2015,0.02,2015,0.089,2015,0.098,2015,0.184,2015,0.173,2015,0.054,2015,0.074806452
2014,0.126,2014,0.149,2014,0.054,2014,0.157,2014,0.182,2014,0.109,2014,0.063,2014,0.13,2014,0.089,2014,0.128,2014,0.068,2014,0.123,2014,0.144,2014,0.048,2014,0.052,2014,0.037,2014,0.048,2014,0.062,2014,0.096,2014,0.071,2014,0.08,2014,0.068,2014,0.048,2014,0.14,2014,0.064,2014,0.014,2014,0.052,2014,0.08,2014,0.123,2014,0.062,2014,0.048,2014,0.087580645
2013,0.065,2013,0.139,2013,0.097,2013,0.033,2013,0.071,2013,0.049,2013,0.072,2013,0.106,2013,0.056,2013,0.179,2013,0.067,2013,0.059,2013,0.145,2013,0.039,2013,0.043,2013,0.027,2013,0.063,2013,0.094,2013,0.104,2013,0.054,2013,0.096,2013,0.061,2013,0.044,2013,0.13,2013,0.082,2013,0.038,2013,0.042,2013,0.053,2013,0.106,2013,0.046,2013,0.039,2013,0.07416129
2012,0.122,2012,0.108,2012,0.032,2012,0.076,2012,0.067,2012,0.026,2012,0.059,2012,0.067,2012,0.098,2012,0.054,2012,0.095,2012,0.069,2012,0.254,2012,0.093,2012,0.09,2012,0.07,2012,0.057,2012,0.051,2012,0.044,2012,0.115,2012,0.085,2012,0.052,2012,0.082,2012,0.126,2012,0.046,2012,0.046,2012,0.123,2012,0.065,2012,0.122,2012,0.046,2012,0.214,2012,0.085612903
2011,0.189,2011,0.109,2011,0.095,2011,0.042,2011,0.075,2011,0.035,2011,0.043,2011,0.134,2011,0.048,2011,0.075,2011,0.103,2011,0.118,2011,0.155,2011,0.064,2011,0.069,2011,0.027,2011,0.074,2011,0.033,2011,0.178,2011,0.081,2011,0.189,2011,0.056,2011,0.044,2011,0.111,2011,0.043,2011,0.015,2011,0.068,2011,0.078,2011,0.122,2011,0.067,2011,0.104,2011,0.085290323
2010,0.033,2010,0.112,2010,0.032,2010,0.066,2010,0.074,2010,0.138,2010,0.093,2010,0.066,2010,0.07,2010,0.134,2010,0.054,2010,0.048,2010,0.08,2010,0.056,2010,0.049,2010,0.014,2010,0.126,2010,0.041,2010,0.087,2010,0.108,2010,0.15,2010,0.099,2010,0.079,2010,0.089,2010,0.069,2010,0.013,2010,0.074,2010,0.086,2010,0.125,2010,0.074,2010,0.03,2010,0.076419355
2009,0.078,2009,0.056,2009,0.057,2009,0.053,2009,0.077,2009,0.118,2009,0.096,2009,0.08,2009,0.05,2009,0.08,2009,0.076,2009,0.052,2009,0.08,2009,0.056,2009,0.07,2009,0.031,2009,0.044,2009,0.071,2009,0.133,2009,0.083,2009,0.049,2009,0.104,2009,0.062,2009,0.085,2009,0.084,2009,0.024,2009,0.07,2009,0.119,2009,0.103,2009,0.039,2009,0.035,2009,0.071451613
2008,0.038,2008,0.075,2008,0.043,2008,0.079,2008,0.122,2008,0.047,2008,0.072,2008,0.1,2008,0.099,2008,0.106,2008,0.055,2008,0.041,2008,0.076,2008,0.056,2008,0.152,2008,0.022,2008,0.036,2008,0.075,2008,0.045,2008,0.07,2008,0.065,2008,0.081,2008,0.045,2008,0.121,2008,0.087,2008,0.012,2008,0.083,2008,0.121,2008,0.059,2008,0.038,2008,0.051,2008,0.070064516
